date,repo_rate,prime_rate,cpi_yoy,gdp_yoy,unemployment_rate,zar_usd
2023-01-31,,,0.06957945341164232,0.01951799646935956,0.331686301369863,16.533733242072604
2023-02-28,,,0.0688394641340886,0.018557533514647534,0.33078876712328764,16.694398829557535
2023-03-31,,,0.06802019029108272,0.01749416381478779,0.3297950684931507,16.872278587130136
2023-04-30,,,0.06722734463656091,0.01646509636331062,0.32883342465753423,17.044420288006847
2023-05-31,,,0.06640807079355501,0.015401726663450879,0.32783972602739725,17.222300045579452
2023-06-30,,,0.06561522513903319,0.014372659211973709,0.3268780821917808,17.394441746456163
2023-07-31,,,0.0647959512960273,0.013309289512113966,0.32588438356164384,17.572321504028768
2023-08-31,,,0.06397667745302142,0.012245919812254225,0.3248906849315068,17.75020126160137
2023-09-30,,,0.0631838317984996,0.011216852360777053,0.3239290410958904,17.922342962478083
2023-10-31,,,0.06236455795549371,0.010153482660917312,0.3229353424657534,18.100222720050684
2023-11-30,,,0.06157171230097189,0.009124415209440143,0.321973698630137,18.272364420927396
2023-12-31,,,0.060752438457966004,0.0080610455095804,0.32098,18.4502441785
2024-01-31,,,0.05930061242521146,0.007831288908743244,0.321133306010929,18.43994585754918
2024-02-29,,,0.0579424525881185,0.00761635531441171,0.3212767213114754,18.43031194440164
2024-03-31,,,0.056490626555363944,0.007386598713574554,0.3214300273224044,18.42001362345082
2024-04-30,,,0.055085633620440194,0.007164253615990208,0.3215783879781421,18.41004750640164
2024-05-31,,,0.05363380758768565,0.006934497015153052,0.3217316939890711,18.39974918545082
2024-06-30,,,0.05222881465276189,0.006712151917568706,0.32188005464480873,18.38978306840164
2024-07-31,,,0.050776988620007346,0.006482395316731549,0.32203336065573773,18.37948474745082
2024-08-31,,,0.0493251625872528,0.006252638715894393,0.32218666666666673,18.3691864265
2024-09-30,,,0.047920169652329044,0.006030293618310047,0.3223350273224044,18.35922030945082
2024-10-31,,,0.0464683436195745,0.005800537017472891,0.3224883333333334,18.348921988500003
2024-11-30,,,0.04506335068465075,0.005578191919888547,0.322636693989071,18.33895587145082
2024-12-31,,,0.043611524651896195,0.00534843531905139,0.32279,18.3286575505
2025-01-31,,,0.04263001562597918,0.0058408533744806245,0.32288512328767127,18.291295453205706
2025-02-28,,,0.04174349134450574,0.00628561806970703,0.3229710410958904,18.257549042746344
2025-03-31,,,0.04076198231858871,0.0067780361251362645,0.32306616438356167,18.22018694545205
2025-04-30,,,0.03981213487415289,0.007254569727164555,0.32315821917808224,18.18403007710273
2025-05-31,,,0.038830625848235864,0.00774698778259379,0.32325334246575343,18.146667979808434
2025-06-30,,,0.03788077840380004,0.008223521384622082,0.323345397260274,18.110511111459118
2025-07-31,,,0.03689926937788302,0.008715939440051314,0.32344052054794525,18.073149014164823
2025-08-31,,,0.035917760351966,0.009208357495480551,0.32353564383561645,18.035786916870528
2025-09-30,,,0.034967912907530166,0.00968489109750884,0.32362769863013696,17.999630048521208
2025-10-31,,,0.03398640388161315,0.010177309152938076,0.3237228219178082,17.962267951226913
2025-11-30,,,0.03303655643717732,0.010653842754966367,0.3238148767123288,17.926111082877597
2025-12-31,,,0.0320550474112603,0.011146260810395601,0.32391,17.8887489855833
